candidate_id,family,side,horizon,surface_type,bucket,events,independent_days,max_day_share,median_return_bp,positive_rate,net_bp_after_0_00015,MFE_MAE_ratio,observable_entry_predicates,suggested_formal_replay_direction,stop_candidate_idea,target_candidate_idea,expiry_candidate_idea,known_weaknesses,required_next_validation
CAND_BTC_EXH_SHORT_24_V1,EXHAUSTION_REVERSAL,SHORT,24,family_side_horizon,,181,54,0.055249,14.338048,0.707182,11.710062,1.757758,"Sprint 06 observable exhaustion predicate: prior impulse, high volume quantile, rejection/stall, delta dominance, VWAP stretch; outcomes are excluded from entry predicates.",SHORT replay after event close; earliest entry next M1 bar open.,Opposite side of exhaustion/rejection event bar or recent impulse extreme; define before replay.,VWAP touch or fixed-R target candidate; choose one before replay.,24 bars after activation as discovery-derived candidate expiry; freeze before replay.,"Discovery-only economics; no Backtester replay, no same-bar audit, no true holdout.","Write formal replay spec, deterministic mapper, Backtester replay, cost stress, same-bar review, source concentration, true holdout."
CAND_BTC_EXH_SHORT_12_V1,EXHAUSTION_REVERSAL,SHORT,12,family_side_horizon,,181,54,0.055249,11.744872,0.729282,10.289549,1.757758,"Sprint 06 observable exhaustion predicate: prior impulse, high volume quantile, rejection/stall, delta dominance, VWAP stretch; outcomes are excluded from entry predicates.",SHORT replay after event close; earliest entry next M1 bar open.,Opposite side of exhaustion/rejection event bar or recent impulse extreme; define before replay.,VWAP touch or fixed-R target candidate; choose one before replay.,12 bars after activation as discovery-derived candidate expiry; freeze before replay.,"Discovery-only economics; no Backtester replay, no same-bar audit, no true holdout.","Write formal replay spec, deterministic mapper, Backtester replay, cost stress, same-bar review, source concentration, true holdout."
CAND_BTC_EXH_SHORT_60_V1,EXHAUSTION_REVERSAL,SHORT,60,family_side_horizon,,181,54,0.055249,12.876336,0.629834,8.265443,1.305889,"Sprint 06 observable exhaustion predicate: prior impulse, high volume quantile, rejection/stall, delta dominance, VWAP stretch; outcomes are excluded from entry predicates.",SHORT replay after event close; earliest entry next M1 bar open.,Opposite side of exhaustion/rejection event bar or recent impulse extreme; define before replay.,VWAP touch or fixed-R target candidate; choose one before replay.,60 bars after activation as discovery-derived candidate expiry; freeze before replay.,"Discovery-only economics; no Backtester replay, no same-bar audit, no true holdout.","Write formal replay spec, deterministic mapper, Backtester replay, cost stress, same-bar review, source concentration, true holdout."
CAND_BTC_EXH_LONG_60_V1,EXHAUSTION_REVERSAL,LONG,60,family_side_horizon,,161,49,0.062112,10.146359,0.658385,8.245225,1.193008,"Sprint 06 observable exhaustion predicate: prior impulse, high volume quantile, rejection/stall, delta dominance, VWAP stretch; outcomes are excluded from entry predicates.",LONG replay after event close; earliest entry next M1 bar open.,Opposite side of exhaustion/rejection event bar or recent impulse extreme; define before replay.,VWAP touch or fixed-R target candidate; choose one before replay.,60 bars after activation as discovery-derived candidate expiry; freeze before replay.,"Discovery-only economics; no Backtester replay, no same-bar audit, no true holdout.","Write formal replay spec, deterministic mapper, Backtester replay, cost stress, same-bar review, source concentration, true holdout."
CAND_BTC_EXH_SHORT_6_V1,EXHAUSTION_REVERSAL,SHORT,6,family_side_horizon,,181,54,0.055249,8.553625,0.718232,7.261098,1.757758,"Sprint 06 observable exhaustion predicate: prior impulse, high volume quantile, rejection/stall, delta dominance, VWAP stretch; outcomes are excluded from entry predicates.",SHORT replay after event close; earliest entry next M1 bar open.,Opposite side of exhaustion/rejection event bar or recent impulse extreme; define before replay.,VWAP touch or fixed-R target candidate; choose one before replay.,6 bars after activation as discovery-derived candidate expiry; freeze before replay.,"Discovery-only economics; no Backtester replay, no same-bar audit, no true holdout.","Write formal replay spec, deterministic mapper, Backtester replay, cost stress, same-bar review, source concentration, true holdout."
CAND_BTC_EXH_LONG_12_V1,EXHAUSTION_REVERSAL,LONG,12,family_side_horizon,,161,49,0.062112,8.781185,0.701863,6.666997,1.344341,"Sprint 06 observable exhaustion predicate: prior impulse, high volume quantile, rejection/stall, delta dominance, VWAP stretch; outcomes are excluded from entry predicates.",LONG replay after event close; earliest entry next M1 bar open.,Opposite side of exhaustion/rejection event bar or recent impulse extreme; define before replay.,VWAP touch or fixed-R target candidate; choose one before replay.,12 bars after activation as discovery-derived candidate expiry; freeze before replay.,"Discovery-only economics; no Backtester replay, no same-bar audit, no true holdout.","Write formal replay spec, deterministic mapper, Backtester replay, cost stress, same-bar review, source concentration, true holdout."
CAND_BTC_VWAP_DEV_SHORT_60_V1,VWAP_DEVIATION_REVERSION,SHORT,60,family_side_horizon,,1282,56,0.060842,9.832838,0.605304,6.624933,1.390887,"Sprint 06 observable VWAP deviation predicate: price stretched from DayVWAP bucket with stall/rejection, session/regime recorded; outcomes are excluded from entry predicates.",SHORT replay after event close; earliest entry next M1 bar open.,Beyond deviation event extreme or volatility-based hard stop; define before replay.,DayVWAP touch or fixed-R target candidate; choose one before replay.,60 bars after activation as discovery-derived candidate expiry; freeze before replay.,"Discovery-only economics; no Backtester replay, no same-bar audit, no true holdout.","Write formal replay spec, deterministic mapper, Backtester replay, cost stress, same-bar review, source concentration, true holdout."
CAND_BTC_VWAP_DEV_LONG_24_V1,VWAP_DEVIATION_REVERSION,LONG,24,family_side_horizon,,1271,52,0.057435,7.091258,0.651456,6.537441,1.875999,"Sprint 06 observable VWAP deviation predicate: price stretched from DayVWAP bucket with stall/rejection, session/regime recorded; outcomes are excluded from entry predicates.",LONG replay after event close; earliest entry next M1 bar open.,Beyond deviation event extreme or volatility-based hard stop; define before replay.,DayVWAP touch or fixed-R target candidate; choose one before replay.,24 bars after activation as discovery-derived candidate expiry; freeze before replay.,"Discovery-only economics; no Backtester replay, no same-bar audit, no true holdout.","Write formal replay spec, deterministic mapper, Backtester replay, cost stress, same-bar review, source concentration, true holdout."
CAND_BTC_VWAP_DEV_LONG_60_V1,VWAP_DEVIATION_REVERSION,LONG,60,family_side_horizon,,1271,52,0.057435,8.237094,0.609756,6.526569,1.36754,"Sprint 06 observable VWAP deviation predicate: price stretched from DayVWAP bucket with stall/rejection, session/regime recorded; outcomes are excluded from entry predicates.",LONG replay after event close; earliest entry next M1 bar open.,Beyond deviation event extreme or volatility-based hard stop; define before replay.,DayVWAP touch or fixed-R target candidate; choose one before replay.,60 bars after activation as discovery-derived candidate expiry; freeze before replay.,"Discovery-only economics; no Backtester replay, no same-bar audit, no true holdout.","Write formal replay spec, deterministic mapper, Backtester replay, cost stress, same-bar review, source concentration, true holdout."
CAND_BTC_VWAP_DEV_SHORT_24_V1,VWAP_DEVIATION_REVERSION,SHORT,24,family_side_horizon,,1283,56,0.060795,8.038477,0.638348,6.497477,1.820122,"Sprint 06 observable VWAP deviation predicate: price stretched from DayVWAP bucket with stall/rejection, session/regime recorded; outcomes are excluded from entry predicates.",SHORT replay after event close; earliest entry next M1 bar open.,Beyond deviation event extreme or volatility-based hard stop; define before replay.,DayVWAP touch or fixed-R target candidate; choose one before replay.,24 bars after activation as discovery-derived candidate expiry; freeze before replay.,"Discovery-only economics; no Backtester replay, no same-bar audit, no true holdout.","Write formal replay spec, deterministic mapper, Backtester replay, cost stress, same-bar review, source concentration, true holdout."
CAND_BTC_EXH_LONG_24_V1,EXHAUSTION_REVERSAL,LONG,24,family_side_horizon,,161,49,0.062112,9.783177,0.670807,6.10424,1.344341,"Sprint 06 observable exhaustion predicate: prior impulse, high volume quantile, rejection/stall, delta dominance, VWAP stretch; outcomes are excluded from entry predicates.",LONG replay after event close; earliest entry next M1 bar open.,Opposite side of exhaustion/rejection event bar or recent impulse extreme; define before replay.,VWAP touch or fixed-R target candidate; choose one before replay.,24 bars after activation as discovery-derived candidate expiry; freeze before replay.,"Discovery-only economics; no Backtester replay, no same-bar audit, no true holdout.","Write formal replay spec, deterministic mapper, Backtester replay, cost stress, same-bar review, source concentration, true holdout."
CAND_BTC_VWAP_DEV_LONG_12_V1,VWAP_DEVIATION_REVERSION,LONG,12,family_side_horizon,,1271,52,0.057435,6.484428,0.677419,5.853668,1.875999,"Sprint 06 observable VWAP deviation predicate: price stretched from DayVWAP bucket with stall/rejection, session/regime recorded; outcomes are excluded from entry predicates.",LONG replay after event close; earliest entry next M1 bar open.,Beyond deviation event extreme or volatility-based hard stop; define before replay.,DayVWAP touch or fixed-R target candidate; choose one before replay.,12 bars after activation as discovery-derived candidate expiry; freeze before replay.,"Discovery-only economics; no Backtester replay, no same-bar audit, no true holdout.","Write formal replay spec, deterministic mapper, Backtester replay, cost stress, same-bar review, source concentration, true holdout."
CAND_BTC_VWAP_DEV_SHORT_12_V1,VWAP_DEVIATION_REVERSION,SHORT,12,family_side_horizon,,1285,56,0.0607,6.637196,0.675486,5.822693,1.822195,"Sprint 06 observable VWAP deviation predicate: price stretched from DayVWAP bucket with stall/rejection, session/regime recorded; outcomes are excluded from entry predicates.",SHORT replay after event close; earliest entry next M1 bar open.,Beyond deviation event extreme or volatility-based hard stop; define before replay.,DayVWAP touch or fixed-R target candidate; choose one before replay.,12 bars after activation as discovery-derived candidate expiry; freeze before replay.,"Discovery-only economics; no Backtester replay, no same-bar audit, no true holdout.","Write formal replay spec, deterministic mapper, Backtester replay, cost stress, same-bar review, source concentration, true holdout."
CAND_BTC_EXH_SHORT_3_V1,EXHAUSTION_REVERSAL,SHORT,3,family_side_horizon,,181,54,0.055249,6.364464,0.729282,5.248432,1.757758,"Sprint 06 observable exhaustion predicate: prior impulse, high volume quantile, rejection/stall, delta dominance, VWAP stretch; outcomes are excluded from entry predicates.",SHORT replay after event close; earliest entry next M1 bar open.,Opposite side of exhaustion/rejection event bar or recent impulse extreme; define before replay.,VWAP touch or fixed-R target candidate; choose one before replay.,3 bars after activation as discovery-derived candidate expiry; freeze before replay.,"Discovery-only economics; no Backtester replay, no same-bar audit, no true holdout.","Write formal replay spec, deterministic mapper, Backtester replay, cost stress, same-bar review, source concentration, true holdout."
CAND_BTC_VWAP_DEV_SHORT_6_V1,VWAP_DEVIATION_REVERSION,SHORT,6,family_side_horizon,,1285,56,0.0607,4.783398,0.668482,4.276802,1.822195,"Sprint 06 observable VWAP deviation predicate: price stretched from DayVWAP bucket with stall/rejection, session/regime recorded; outcomes are excluded from entry predicates.",SHORT replay after event close; earliest entry next M1 bar open.,Beyond deviation event extreme or volatility-based hard stop; define before replay.,DayVWAP touch or fixed-R target candidate; choose one before replay.,6 bars after activation as discovery-derived candidate expiry; freeze before replay.,"Discovery-only economics; no Backtester replay, no same-bar audit, no true holdout.","Write formal replay spec, deterministic mapper, Backtester replay, cost stress, same-bar review, source concentration, true holdout."
CAND_BTC_VWAP_DEV_LONG_6_V1,VWAP_DEVIATION_REVERSION,LONG,6,family_side_horizon,,1271,52,0.057435,4.989863,0.667978,4.249346,1.875999,"Sprint 06 observable VWAP deviation predicate: price stretched from DayVWAP bucket with stall/rejection, session/regime recorded; outcomes are excluded from entry predicates.",LONG replay after event close; earliest entry next M1 bar open.,Beyond deviation event extreme or volatility-based hard stop; define before replay.,DayVWAP touch or fixed-R target candidate; choose one before replay.,6 bars after activation as discovery-derived candidate expiry; freeze before replay.,"Discovery-only economics; no Backtester replay, no same-bar audit, no true holdout.","Write formal replay spec, deterministic mapper, Backtester replay, cost stress, same-bar review, source concentration, true holdout."
CAND_BTC_EXH_LONG_6_V1,EXHAUSTION_REVERSAL,LONG,6,family_side_horizon,,161,49,0.062112,7.689801,0.677019,3.946607,1.344341,"Sprint 06 observable exhaustion predicate: prior impulse, high volume quantile, rejection/stall, delta dominance, VWAP stretch; outcomes are excluded from entry predicates.",LONG replay after event close; earliest entry next M1 bar open.,Opposite side of exhaustion/rejection event bar or recent impulse extreme; define before replay.,VWAP touch or fixed-R target candidate; choose one before replay.,6 bars after activation as discovery-derived candidate expiry; freeze before replay.,"Discovery-only economics; no Backtester replay, no same-bar audit, no true holdout.","Write formal replay spec, deterministic mapper, Backtester replay, cost stress, same-bar review, source concentration, true holdout."
CAND_BTC_VWAP_DEV_SHORT_3_V1,VWAP_DEVIATION_REVERSION,SHORT,3,family_side_horizon,,1284,56,0.060748,3.439678,0.66433,2.845516,1.821342,"Sprint 06 observable VWAP deviation predicate: price stretched from DayVWAP bucket with stall/rejection, session/regime recorded; outcomes are excluded from entry predicates.",SHORT replay after event close; earliest entry next M1 bar open.,Beyond deviation event extreme or volatility-based hard stop; define before replay.,DayVWAP touch or fixed-R target candidate; choose one before replay.,3 bars after activation as discovery-derived candidate expiry; freeze before replay.,"Discovery-only economics; no Backtester replay, no same-bar audit, no true holdout.","Write formal replay spec, deterministic mapper, Backtester replay, cost stress, same-bar review, source concentration, true holdout."
CAND_BTC_VWAP_DEV_LONG_3_V1,VWAP_DEVIATION_REVERSION,LONG,3,family_side_horizon,,1271,52,0.057435,3.611831,0.66011,2.671613,1.875999,"Sprint 06 observable VWAP deviation predicate: price stretched from DayVWAP bucket with stall/rejection, session/regime recorded; outcomes are excluded from entry predicates.",LONG replay after event close; earliest entry next M1 bar open.,Beyond deviation event extreme or volatility-based hard stop; define before replay.,DayVWAP touch or fixed-R target candidate; choose one before replay.,3 bars after activation as discovery-derived candidate expiry; freeze before replay.,"Discovery-only economics; no Backtester replay, no same-bar audit, no true holdout.","Write formal replay spec, deterministic mapper, Backtester replay, cost stress, same-bar review, source concentration, true holdout."
CAND_BTC_EXH_LONG_3_V1,EXHAUSTION_REVERSAL,LONG,3,family_side_horizon,,161,49,0.062112,5.149519,0.652174,2.370672,1.344341,"Sprint 06 observable exhaustion predicate: prior impulse, high volume quantile, rejection/stall, delta dominance, VWAP stretch; outcomes are excluded from entry predicates.",LONG replay after event close; earliest entry next M1 bar open.,Opposite side of exhaustion/rejection event bar or recent impulse extreme; define before replay.,VWAP touch or fixed-R target candidate; choose one before replay.,3 bars after activation as discovery-derived candidate expiry; freeze before replay.,"Discovery-only economics; no Backtester replay, no same-bar audit, no true holdout.","Write formal replay spec, deterministic mapper, Backtester replay, cost stress, same-bar review, source concentration, true holdout."
CAND_BTC_VWAP_DEV_LONG_60_100200_V1,VWAP_DEVIATION_REVERSION,LONG,60,vwap_bucket_only,VWAP_100_200BP,423,30,0.096927,9.869024,0.652482,10.214933,1.510358,"Sprint 06 observable VWAP deviation predicate: price stretched from DayVWAP bucket with stall/rejection, session/regime recorded; outcomes are excluded from entry predicates.",LONG replay after event close; earliest entry next M1 bar open.,Beyond deviation event extreme or volatility-based hard stop; define before replay.,DayVWAP touch or fixed-R target candidate; choose one before replay.,60 bars after activation as discovery-derived candidate expiry; freeze before replay.,"Discovery-only economics; no Backtester replay, no same-bar audit, no true holdout.","Write formal replay spec, deterministic mapper, Backtester replay, cost stress, same-bar review, source concentration, true holdout."
CAND_BTC_VWAP_DEV_SHORT_60_100200_V1,VWAP_DEVIATION_REVERSION,SHORT,60,vwap_bucket_only,VWAP_100_200BP,305,31,0.101639,17.474484,0.639344,8.910669,1.375097,"Sprint 06 observable VWAP deviation predicate: price stretched from DayVWAP bucket with stall/rejection, session/regime recorded; outcomes are excluded from entry predicates.",SHORT replay after event close; earliest entry next M1 bar open.,Beyond deviation event extreme or volatility-based hard stop; define before replay.,DayVWAP touch or fixed-R target candidate; choose one before replay.,60 bars after activation as discovery-derived candidate expiry; freeze before replay.,"Discovery-only economics; no Backtester replay, no same-bar audit, no true holdout.","Write formal replay spec, deterministic mapper, Backtester replay, cost stress, same-bar review, source concentration, true holdout."
CAND_BTC_VWAP_DEV_LONG_24_100200_V1,VWAP_DEVIATION_REVERSION,LONG,24,vwap_bucket_only,VWAP_100_200BP,423,30,0.096927,8.023325,0.680851,8.172974,1.790882,"Sprint 06 observable VWAP deviation predicate: price stretched from DayVWAP bucket with stall/rejection, session/regime recorded; outcomes are excluded from entry predicates.",LONG replay after event close; earliest entry next M1 bar open.,Beyond deviation event extreme or volatility-based hard stop; define before replay.,DayVWAP touch or fixed-R target candidate; choose one before replay.,24 bars after activation as discovery-derived candidate expiry; freeze before replay.,"Discovery-only economics; no Backtester replay, no same-bar audit, no true holdout.","Write formal replay spec, deterministic mapper, Backtester replay, cost stress, same-bar review, source concentration, true holdout."
CAND_BTC_VWAP_DEV_SHORT_24_100200_V1,VWAP_DEVIATION_REVERSION,SHORT,24,vwap_bucket_only,VWAP_100_200BP,305,31,0.101639,9.859556,0.629508,7.969676,1.80852,"Sprint 06 observable VWAP deviation predicate: price stretched from DayVWAP bucket with stall/rejection, session/regime recorded; outcomes are excluded from entry predicates.",SHORT replay after event close; earliest entry next M1 bar open.,Beyond deviation event extreme or volatility-based hard stop; define before replay.,DayVWAP touch or fixed-R target candidate; choose one before replay.,24 bars after activation as discovery-derived candidate expiry; freeze before replay.,"Discovery-only economics; no Backtester replay, no same-bar audit, no true holdout.","Write formal replay spec, deterministic mapper, Backtester replay, cost stress, same-bar review, source concentration, true holdout."
CAND_BTC_VWAP_DEV_SHORT_12_100200_V1,VWAP_DEVIATION_REVERSION,SHORT,12,vwap_bucket_only,VWAP_100_200BP,305,31,0.101639,8.849227,0.665574,7.92756,1.80852,"Sprint 06 observable VWAP deviation predicate: price stretched from DayVWAP bucket with stall/rejection, session/regime recorded; outcomes are excluded from entry predicates.",SHORT replay after event close; earliest entry next M1 bar open.,Beyond deviation event extreme or volatility-based hard stop; define before replay.,DayVWAP touch or fixed-R target candidate; choose one before replay.,12 bars after activation as discovery-derived candidate expiry; freeze before replay.,"Discovery-only economics; no Backtester replay, no same-bar audit, no true holdout.","Write formal replay spec, deterministic mapper, Backtester replay, cost stress, same-bar review, source concentration, true holdout."
CAND_BTC_VWAP_DEV_LONG_24_4560_V1,VWAP_DEVIATION_REVERSION,LONG,24,vwap_bucket_only,VWAP_45_60BP,371,52,0.051213,6.629693,0.681941,7.770397,2.327621,"Sprint 06 observable VWAP deviation predicate: price stretched from DayVWAP bucket with stall/rejection, session/regime recorded; outcomes are excluded from entry predicates.",LONG replay after event close; earliest entry next M1 bar open.,Beyond deviation event extreme or volatility-based hard stop; define before replay.,DayVWAP touch or fixed-R target candidate; choose one before replay.,24 bars after activation as discovery-derived candidate expiry; freeze before replay.,"Discovery-only economics; no Backtester replay, no same-bar audit, no true holdout.","Write formal replay spec, deterministic mapper, Backtester replay, cost stress, same-bar review, source concentration, true holdout."
CAND_BTC_VWAP_DEV_LONG_12_4560_V1,VWAP_DEVIATION_REVERSION,LONG,12,vwap_bucket_only,VWAP_45_60BP,371,52,0.051213,8.012115,0.74124,6.930782,2.327621,"Sprint 06 observable VWAP deviation predicate: price stretched from DayVWAP bucket with stall/rejection, session/regime recorded; outcomes are excluded from entry predicates.",LONG replay after event close; earliest entry next M1 bar open.,Beyond deviation event extreme or volatility-based hard stop; define before replay.,DayVWAP touch or fixed-R target candidate; choose one before replay.,12 bars after activation as discovery-derived candidate expiry; freeze before replay.,"Discovery-only economics; no Backtester replay, no same-bar audit, no true holdout.","Write formal replay spec, deterministic mapper, Backtester replay, cost stress, same-bar review, source concentration, true holdout."
CAND_BTC_VWAP_DEV_SHORT_24_60100_V1,VWAP_DEVIATION_REVERSION,SHORT,24,vwap_bucket_only,VWAP_60_100BP,507,49,0.080868,7.674765,0.623274,6.674585,1.787194,"Sprint 06 observable VWAP deviation predicate: price stretched from DayVWAP bucket with stall/rejection, session/regime recorded; outcomes are excluded from entry predicates.",SHORT replay after event close; earliest entry next M1 bar open.,Beyond deviation event extreme or volatility-based hard stop; define before replay.,DayVWAP touch or fixed-R target candidate; choose one before replay.,24 bars after activation as discovery-derived candidate expiry; freeze before replay.,"Discovery-only economics; no Backtester replay, no same-bar audit, no true holdout.","Write formal replay spec, deterministic mapper, Backtester replay, cost stress, same-bar review, source concentration, true holdout."
CAND_BTC_VWAP_DEV_LONG_12_100200_V1,VWAP_DEVIATION_REVERSION,LONG,12,vwap_bucket_only,VWAP_100_200BP,423,30,0.096927,7.045182,0.669031,6.507371,1.790882,"Sprint 06 observable VWAP deviation predicate: price stretched from DayVWAP bucket with stall/rejection, session/regime recorded; outcomes are excluded from entry predicates.",LONG replay after event close; earliest entry next M1 bar open.,Beyond deviation event extreme or volatility-based hard stop; define before replay.,DayVWAP touch or fixed-R target candidate; choose one before replay.,12 bars after activation as discovery-derived candidate expiry; freeze before replay.,"Discovery-only economics; no Backtester replay, no same-bar audit, no true holdout.","Write formal replay spec, deterministic mapper, Backtester replay, cost stress, same-bar review, source concentration, true holdout."
CAND_BTC_VWAP_DEV_SHORT_60_4560_V1,VWAP_DEVIATION_REVERSION,SHORT,60,vwap_bucket_only,VWAP_45_60BP,425,54,0.044706,6.226896,0.595294,6.056187,1.450578,"Sprint 06 observable VWAP deviation predicate: price stretched from DayVWAP bucket with stall/rejection, session/regime recorded; outcomes are excluded from entry predicates.",SHORT replay after event close; earliest entry next M1 bar open.,Beyond deviation event extreme or volatility-based hard stop; define before replay.,DayVWAP touch or fixed-R target candidate; choose one before replay.,60 bars after activation as discovery-derived candidate expiry; freeze before replay.,"Discovery-only economics; no Backtester replay, no same-bar audit, no true holdout.","Write formal replay spec, deterministic mapper, Backtester replay, cost stress, same-bar review, source concentration, true holdout."
