concept,source_research_or_run,current_code_module,currently_used_by_monitor,currently_used_by_setup_builder,primary_status,secondary_statuses,evidence_class,problem,action
zone registry carry-forward,market_monitor code / canonical docs,market_monitor/zone_registry.py,yes,indirectly via downstream state/selected zones,OK_IN_CODE,PARTIAL_IN_CODE,CODE_CONFIRMED,zone memory exists but full lifecycle memory is not complete,preserve; extend only after 39A review
market_structure_state,market_monitor code,market_monitor/market_structure_state.py,yes,yes,OK_IN_CODE,USED_BY_BUILDER,CODE_CONFIRMED,state context exists but is not complete lifecycle classifier,preserve; add lifecycle layer later
setup_builder context candidates,setup_builder code,market_monitor/setup_builder.py,downstream,yes,PARTIAL_IN_CODE,USED_BY_BUILDER;RESEARCH_ONLY,CODE_CONFIRMED,builder emits research context rows; not final setup engine,document boundary; no live promotion
38S 227 discovery rows,38S run/canonical docs,market_monitor_runs/SHI_RESET_38S*,no,not directly as canonical candidates,RUN_ARTIFACT_ONLY,RESEARCH_ONLY,RUN_ARTIFACT_CONFIRMED,permissive discovery rows overgenerate pseudo-sweeps,keep discovery-only; do not source candidates directly
38T quality-control findings,38T run/canonical docs,market_monitor_runs/SHI_RESET_38T*,no,no,RUN_ARTIFACT_ONLY,RESEARCH_ONLY,RUN_ARTIFACT_CONFIRMED,useful audit; not reusable code,preserve as audit evidence
38U specimen-like review,38U doc/run in attached snapshot,market_monitor_runs/SHI_RESET_38U*,no,no,RESEARCH_ONLY,RUN_ARTIFACT_ONLY,CANONICAL_DOC_CONFIRMED,post-generation review only not pre-filter,preserve separately from code
38W outcome/policy replay,attached 38W zip,market_monitor_runs/SHI_RESET_38W_full_feed_setup_builder_outcome_replay_v0,no,no,RUN_ARTIFACT_ONLY,RESEARCH_ONLY,RUN_ARTIFACT_CONFIRMED,replay evidence only; not edge proof,preserve; do not promote to strategy
38W1 corrected TP1/stop chronology,task/manual reference,NOT_FOUND,no,no,NOT_VERIFIED,RESEARCH_ONLY,NOT_VERIFIED,referenced but file/directory not available in audited snapshot,mark NOT_VERIFIED until supplied
38X up-side stop symmetry audit,task/manual reference,NOT_FOUND,no,no,NOT_VERIFIED,RESEARCH_ONLY,NOT_VERIFIED,referenced but not found,mark NOT_VERIFIED until supplied
38Y research-to-code traceability,task/manual reference,NOT_FOUND,no,no,NOT_VERIFIED,RESEARCH_ONLY,NOT_VERIFIED,referenced but not found,mark NOT_VERIFIED until supplied
sweep as sequence/lifecycle,manual conclusions / 38-chain audit interpretation,not implemented,no,no,PROMOTE_TO_CODE,RESEARCH_ONLY,MANUAL_REVIEW_CONCLUSION,raw penetration currently not enough to classify sweep,future lifecycle classifier
counter-sweep invalidation,manual control cases,not implemented,no,no,PROMOTE_TO_CODE,BUG_OR_GAP,MANUAL_REVIEW_CONCLUSION,29.05-like sequences need invalidation/reversal logic,future COUNTER_SWEEP_INVALIDATION event
accepted break vs reclaim classifier,manual control cases,not implemented,no,no,PROMOTE_TO_CODE,BUG_OR_GAP,MANUAL_REVIEW_CONCLUSION,06.01-like accepted breakdown must differ from sweep reclaim,future accepted break classifier
support/resistance blocker,manual 06.05 conclusion,setup_builder target/zone context,partial,partial,PROMOTE_TO_CODE,BUG_OR_GAP;PARTIAL_IN_CODE,MANUAL_REVIEW_CONCLUSION,selected_zones visibility can hide effective blockers,future blocker from full market_structure_levels
minimum structural risk / meaningful R,manual replay interpretation,not implemented,no,no,PROMOTE_TO_CODE,BUG_OR_GAP,MANUAL_REVIEW_CONCLUSION,micro-risk TP1 can mislead quality interpretation,future validation gate
old analyzer,reset docs,analyzer/,no,no,ARCHIVE,NOT_USED_BY_BUILDER,CANONICAL_DOC_CONFIRMED,legacy/failed/read-only,do not activate
old backtester,reset docs,backtester/,no,no,ARCHIVE,NOT_USED_BY_BUILDER,CANONICAL_DOC_CONFIRMED,legacy/audit-required/not current validation,do not run old replay campaigns
